,src,dest
644,USF1,CD164
645,USF1,CCNYL1
646,USF1,CCND2
647,USF1,CCND1
648,USF1,CCNB1
649,USF1,CCDC47
650,USF1,CC2D1B
651,USF1,CBX5
652,USF1,CASP9
653,USF1,CAMK2D
654,USF1,CALR
655,USF1,CAD
656,USF1,C9orf85
657,USF1,C2CD4A
658,USF1,C1orf43
659,USF1,C19orf47
660,USF1,C17orf49
661,USF1,C17orf102
662,USF1,C16orf72
663,USF1,BTF3L4
664,USF1,BRCA2
665,USF1,BNIP3L
666,USF1,BLOC1S1
667,USF1,BEND3
668,USF1,BCL7C
669,USF1,BCAS3
670,USF1,B3GNT9
671,USF1,ATXN3
672,USF1,ATOH8
673,USF1,ATG3
674,USF1,ATF7IP
675,USF1,ATAD3B
676,USF1,ASS1
677,USF1,ASPHD1
678,USF1,ARSG
679,USF1,ARMC6
680,USF1,ARL3
681,USF1,ARHGEF3
682,USF1,ARHGEF10
683,USF1,ARFGEF2
684,USF1,AQP5
685,USF1,APEX1
686,USF1,APC
687,USF1,AP1S2
688,USF1,ANXA6
689,USF1,ANKRD12
690,USF1,AMPD3
691,USF1,AMPD2
692,USF1,AMN
693,USF1,AMMECR1
694,USF1,ALDH6A1
695,USF1,AKT1S1
696,USF1,AKAP1
697,USF1,AIMP2
698,USF1,AGTRAP
699,USF1,ADRA2B
700,USF1,ADNP2
701,USF1,ADCY3
702,USF1,ADAM10
703,USF1,ACY1
704,USF1,ACACA
705,USF1,ABCB6
706,USF1,AATF
707,TP53,ZMAT3
708,TP53,TP53I3
709,TP53,TNFRSF10B
710,TP53,THBS1
711,TP53,TBXAS1
712,TP53,SFN
713,TP53,SESN2
714,TP53,SESN1
715,TP53,SERPINB5
716,TP53,RRM2B
717,TP53,PTEN
718,TP53,PERP
719,TP53,NFATC4
720,TP53,MAP4
721,TP53,JAK2
722,TP53,IGFBP3
723,TP53,IGF2
724,TP53,HRAS
725,TP53,HIPK1
726,TP53,HIC1
727,TP53,GADD45A
728,TP53,FAS
729,TP53,ETS2
730,TP53,DDIT4
731,TP53,DDB2
732,TP53,CD82
733,TP53,CAV1
734,TP53,BTG2
735,TP53,APAF1
736,TFAP2C,ZSWIM6
737,TFAP2C,ZNFX1
738,TFAP2C,ZNF653
739,TFAP2C,ZNF593
740,TFAP2C,ZDHHC2
741,TFAP2C,TRIM8
742,TFAP2C,TPGS1
743,TFAP2C,TNPO1
744,TFAP2C,TEAD2
745,TFAP2C,TBCC
746,TFAP2C,SYT7
747,TFAP2C,SUMO2
748,TFAP2C,SMAD7
749,TFAP2C,SKIL
750,TFAP2C,SERTAD3
751,TFAP2C,SCAF1
752,TFAP2C,RTBDN
753,TFAP2C,RNPEP
754,TFAP2C,RNF19B
755,TFAP2C,RBPJ
756,TFAP2C,PPP1R14B
757,TFAP2C,POU2F1
758,TFAP2C,PLAGL2
759,TFAP2C,PIP4K2B
760,TFAP2C,PHF1
761,TFAP2C,PDE8A
762,TFAP2C,PBX3
763,TFAP2C,MYO1C
764,TFAP2C,MUS81
765,TFAP2C,MIOS
766,TFAP2C,MIDN
767,TFAP2C,MEIS2
768,TFAP2C,MARK3
769,TFAP2C,LSM1
770,TFAP2C,LHX2
771,TFAP2C,KDM2A
772,TFAP2C,ING2
773,TFAP2C,HOXA9
774,TFAP2C,GPRC5C
775,TFAP2C,GPR137
776,TFAP2C,GON4L
777,TFAP2C,GDPGP1
778,TFAP2C,GATA2
779,TFAP2C,FMNL1
780,TFAP2C,FAM53B
781,TFAP2C,ESR1
782,TFAP2C,EPB41L1
783,TFAP2C,EID2
784,TFAP2C,DKKL1
785,TFAP2C,CREB3
786,TFAP2C,CLIP1
787,TFAP2C,BRF1
788,TFAP2C,BNIP2
